"EmployerName","EmployerId","Address","PostCode","CompanyNumber","SicCodes","DiffMeanHourlyPercent","DiffMedianHourlyPercent","DiffMeanBonusPercent","DiffMedianBonusPercent","MaleBonusPercent","FemaleBonusPercent","MaleLowerQuartile","FemaleLowerQuartile","MaleLowerMiddleQuartile","FemaleLowerMiddleQuartile","MaleUpperMiddleQuartile","FemaleUpperMiddleQuartile","MaleTopQuartile","FemaleTopQuartile","CompanyLinkToGPGInfo","ResponsiblePerson","EmployerSize","CurrentName","SubmittedAfterTheDeadline","DueDate","DateSubmitted"
"1509 GROUP","15320","Royal Grammar School, High Street, Guildford, Surrey, GU1 3BB","GU1 3BB","04104101","85200,
85310","18.0","16.0","","","0.0","0.0","36.0","64.0","36.0","64.0","50.0","50.0","71.0","29.0","https://www.rgsg.co.uk","Ann Mortimer (Payroll Manager)","Less than 250","1509 GROUP","False","2022/04/05 00:00:00","2022/02/02 11:06:02"
"1LIFE MANAGEMENT SOLUTIONS LIMITED","687","Ldh House St Ives Business Park, Parsons Green, St. Ives, Cambridgeshire, PE27 4AA","PE27 4AA","02566586","93110,
93130,
93290","6.1","-35.3","55.5","-100.0","69.2","30.8","58.3","41.7","34.8","65.2","34.8","65.2","47.8","52.2","https://www.1life.co.uk/corporate-information/","Ann Chesher (Head of Employee Services)","Less than 250","1LIFE MANAGEMENT SOLUTIONS LIMITED","False","2022/04/05 00:00:00","2022/02/01 12:19:55"
"1ST HOME CARE LTD.","17484","14b Dickson Street, Elgin Industrial Estate, Dunfermline, Fife, Scotland, KY12 7SN","KY12 7SN","SC272838","86900,
88100","-3.0","0.0","","","0.0","0.0","9.0","91.0","9.0","91.0","9.0","91.0","8.0","92.0","","David Sargent (Group Chief Executive Officer)","Less than 250","1ST HOME CARE LTD.","False","2022/04/05 00:00:00","2022/02/08 14:48:58"
"2 SISTERS FOOD GROUP LIMITED","77","Trinity Park House Trinity Business Park, Fox Way, Wakefield, West Yorkshire, WF2 8EE","WF2 8EE","02826929","10120","8.3","5.6","32.1","2.7","2.0","2.0","54.0","46.0","57.0","43.0","66.0","34.0","66.0","34.0","https://www.2sfg.com/how-we-work/gender/","Lee Greenbury (Director of People and Compliance)","5000 to 19,999","2 SISTERS FOOD GROUP LIMITED","False","2022/04/05 00:00:00","2022/02/11 12:39:54"
